,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateless-55b56d99fb-mj2pv_cpu,simple-stateless-55b56d99fb-mj2pv_memory,simple-stateless-6bbbb8cb9c-664qr_cpu,simple-stateless-6bbbb8cb9c-664qr_memory
Fri Feb 10 20:23:33 2023,0.904855,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:34 2023,1.319444,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:36 2023,0.932291,208117978n,1675140Ki,38005191n,1262224Ki,41332290n,1167764Ki,192710382n,1390Mi,36169452n,1025520Ki,40842345n,1168116Ki,1829830n,17672Ki,0,18076Ki
Fri Feb 10 20:23:38 2023,0.774251,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:39 2023,0.998419,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:41 2023,1.773184,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:43 2023,1.202976,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:45 2023,1.503676,198005234n,1673760Ki,41001887n,1261880Ki,39374701n,1167764Ki,198177956n,1423444Ki,37337218n,1025652Ki,45313765n,1168116Ki,1598054n,18104Ki,0,18076Ki
Fri Feb 10 20:23:47 2023,1.217373,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:49 2023,1.927485,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:51 2023,1.2045,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:53 2023,1.065306,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:55 2023,0.716283,198005234n,1673760Ki,41001887n,1261880Ki,39374701n,1167764Ki,198177956n,1423444Ki,37337218n,1025652Ki,45313765n,1168116Ki,1598054n,18104Ki,0,18076Ki
Fri Feb 10 20:23:57 2023,1.162575,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:59 2023,0.686647,,,,,,,,,,,,,,,,
Fri Feb 10 20:24:00 2023,1.821562,,,,,,,,,,,,,,,,
Fri Feb 10 20:24:02 2023,0.736346,,,,,,,,,,,,,,,,
Fri Feb 10 20:24:03 2023,1.641925,185297751n,1673764Ki,47746778n,1262120Ki,39907221n,1167624Ki,188425049n,1423108Ki,38599415n,1025652Ki,47462775n,1168116Ki,1598054n,18104Ki,0,18076Ki
Fri Feb 10 20:24:06 2023,0.859812,,,,,,,,,,,,,,,,
Fri Feb 10 20:24:07 2023,0.933058,,,,,,,,,,,,,,,,
Fri Feb 10 20:24:08 2023,1.101739,,,,,,,,,,,,,,,,
Fri Feb 10 20:24:10 2023,1.677037,,,,,,,,,,,,,,,,
Fri Feb 10 20:24:12 2023,0.5238,185297751n,1673764Ki,47746778n,1262120Ki,39907221n,1167624Ki,188425049n,1423108Ki,38599415n,1025652Ki,47462775n,1168116Ki,1598054n,18104Ki,0,18076Ki
Fri Feb 10 20:24:13 2023,0.549139,,,,,,,,,,,,,,,,
Fri Feb 10 20:24:14 2023,0.562463,,,,,,,,,,,,,,,,
Fri Feb 10 20:24:15 2023,0.515985,,,,,,,,,,,,,,,,
Fri Feb 10 20:24:16 2023,0.527736,,,,,,,,,,,,,,,,
Fri Feb 10 20:24:17 2023,0.537519,208559666n,1674160Ki,41903239n,1262420Ki,41521750n,1167436Ki,185861098n,1423272Ki,35178478n,1025600Ki,49175232n,1168752Ki,1485227n,18308Ki,0,18076Ki
Fri Feb 10 20:24:18 2023,0.633428,,,,,,,,,,,,,,,,
Fri Feb 10 20:24:19 2023,0.501991,,,,,,,,,,,,,,,,
Fri Feb 10 20:24:20 2023,0.525361,,,,,,,,,,,,,,,,
Fri Feb 10 20:24:21 2023,0.566789,,,,,,,,,,,,,,,,
Fri Feb 10 20:24:22 2023,0.541405,208559666n,1674160Ki,41903239n,1262420Ki,41521750n,1167436Ki,185861098n,1423272Ki,35178478n,1025600Ki,49175232n,1168752Ki,1485227n,18308Ki,0,18076Ki
Fri Feb 10 20:24:24 2023,0.529641,,,,,,,,,,,,,,,,
Fri Feb 10 20:24:25 2023,0.407304,,,,,,,,,,,,,,,,
Fri Feb 10 20:24:26 2023,0.445954,,,,,,,,,,,,,,,,
Fri Feb 10 20:24:27 2023,0.532789,,,,,,,,,,,,,,,,
