,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateless-699b785b7f-rszbd_cpu,simple-stateless-699b785b7f-rszbd_memory,simple-stateless-6bbbb8cb9c-664qr_cpu,simple-stateless-6bbbb8cb9c-664qr_memory,simple-stateless-55b56d99fb-mj2pv_cpu,simple-stateless-55b56d99fb-mj2pv_memory
Fri Feb 10 19:43:55 2023,0.509751,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:56 2023,0.407583,296401015n,2042672Ki,39068723n,1259844Ki,59212299n,1167384Ki,201929799n,1421724Ki,35124128n,1024600Ki,43983737n,1165608Ki,,,0,18076Ki,2896677n,18388Ki
Fri Feb 10 19:43:57 2023,0.443683,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:58 2023,0.393852,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:59 2023,0.44043,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:44:00 2023,0.416654,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:44:01 2023,0.476573,262610193n,2029300Ki,40834684n,1260900Ki,51937852n,1167672Ki,194322245n,1421020Ki,41953462n,1024448Ki,42711782n,1165740Ki,,,0,18076Ki,3042912n,17724Ki
Fri Feb 10 19:44:02 2023,0.457888,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:44:03 2023,0.470729,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:44:04 2023,0.612494,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:44:05 2023,0.491458,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:44:06 2023,0.452614,262610193n,2029300Ki,40834684n,1260900Ki,51937852n,1167672Ki,194322245n,1421020Ki,41953462n,1024448Ki,42711782n,1165740Ki,,,0,18076Ki,3042912n,17724Ki
Fri Feb 10 19:44:07 2023,0.572935,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:44:08 2023,0.495831,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:44:09 2023,0.486154,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:44:10 2023,0.54,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:44:11 2023,0.426225,262610193n,2029300Ki,40834684n,1260900Ki,51937852n,1167672Ki,194322245n,1421020Ki,41953462n,1024448Ki,42711782n,1165740Ki,,,0,18076Ki,3042912n,17724Ki
Fri Feb 10 19:44:12 2023,0.471691,,,,,,,,,,,,,,,,,,
